wine_name,vintage,region,predict_score,target_score,predict_price,target_price
"Chateau Grand-Puy-Lacoste 5eme Cru Classe, Pauillac",2015,Pauillac,92.05,93,225.23,89
"Chateau Grand-Puy-Lacoste 5eme Cru Classe, Pauillac",2014,Pauillac,92.02,93,222.8,73
"Chateau Grand-Puy-Lacoste 5eme Cru Classe, Pauillac",2013,Pauillac,91.99,90,220.37,54
"Chateau Grand-Puy-Lacoste 5eme Cru Classe, Pauillac",2012,Pauillac,91.96,91,217.95,71
"Chateau Grand-Puy-Lacoste 5eme Cru Classe, Pauillac",2011,Pauillac,91.93,90,215.52,73
"Chateau Grand-Puy-Lacoste 5eme Cru Classe, Pauillac",2010,Pauillac,91.9,93,213.09,116
"Chateau Grand-Puy-Lacoste 5eme Cru Classe, Pauillac",2009,Pauillac,91.87,94,210.66,119
"Chateau Grand-Puy-Lacoste 5eme Cru Classe, Pauillac",2008,Pauillac,91.84,90,208.24,76
"Chateau Grand-Puy-Lacoste 5eme Cru Classe, Pauillac",2007,Pauillac,91.81,90,205.81,76
"Chateau Grand-Puy-Lacoste 5eme Cru Classe, Pauillac",2006,Pauillac,91.78,91,203.38,90
"Chateau Grand-Puy-Lacoste 5eme Cru Classe, Pauillac",2005,Pauillac,91.75,93,200.95,144
"Chateau Grand-Puy-Lacoste 5eme Cru Classe, Pauillac",2004,Pauillac,91.72,91,198.53,77
"Chateau Grand-Puy-Lacoste 5eme Cru Classe, Pauillac",2003,Pauillac,91.69,90,196.1,89
"Chateau Grand-Puy-Lacoste 5eme Cru Classe, Pauillac",2002,Pauillac,91.66,88,193.67,84
"Chateau Grand-Puy-Lacoste 5eme Cru Classe, Pauillac",2001,Pauillac,91.63,89,191.24,117
"Chateau Grand-Puy-Lacoste 5eme Cru Classe, Pauillac",2000,Pauillac,91.6,92,188.82,159
"Chateau Beychevelle 4eme Cru Classe, Saint-Julien",2023,Saint-Julien,91.75,-,237.06,-
"Chateau Beychevelle 4eme Cru Classe, Saint-Julien",2022,Saint-Julien,91.72,94,234.63,93
"Chateau Beychevelle 4eme Cru Classe, Saint-Julien",2021,Saint-Julien,91.69,92,232.2,93
"Chateau Beychevelle 4eme Cru Classe, Saint-Julien",2020,Saint-Julien,91.66,94,229.77,121
"Chateau Beychevelle 4eme Cru Classe, Saint-Julien",2019,Saint-Julien,91.63,93,227.35,133
"Chateau Beychevelle 4eme Cru Classe, Saint-Julien",2018,Saint-Julien,91.6,94,224.92,125
"Chateau Beychevelle 4eme Cru Classe, Saint-Julien",2017,Saint-Julien,91.57,93,222.49,121
"Chateau Beychevelle 4eme Cru Classe, Saint-Julien",2016,Saint-Julien,91.54,93,220.06,137
"Chateau Beychevelle 4eme Cru Classe, Saint-Julien",2015,Saint-Julien,91.51,93,217.64,145
"Chateau Beychevelle 4eme Cru Classe, Saint-Julien",2014,Saint-Julien,91.48,92,215.21,130
"Chateau Beychevelle 4eme Cru Classe, Saint-Julien",2013,Saint-Julien,91.45,90,212.78,125
"Chateau Beychevelle 4eme Cru Classe, Saint-Julien",2012,Saint-Julien,91.42,91,210.35,139
"Chateau Beychevelle 4eme Cru Classe, Saint-Julien",2011,Saint-Julien,91.39,90,207.93,134
"Chateau Beychevelle 4eme Cru Classe, Saint-Julien",2010,Saint-Julien,91.36,92,205.5,155
"Chateau Beychevelle 4eme Cru Classe, Saint-Julien",2009,Saint-Julien,91.33,92,203.07,149
"Chateau Beychevelle 4eme Cru Classe, Saint-Julien",2008,Saint-Julien,91.3,90,200.64,127
"Chateau Beychevelle 4eme Cru Classe, Saint-Julien",2007,Saint-Julien,91.27,88,198.22,137
"Chateau Beychevelle 4eme Cru Classe, Saint-Julien",2006,Saint-Julien,91.24,90,195.79,132
"Chateau Beychevelle 4eme Cru Classe, Saint-Julien",2005,Saint-Julien,91.21,91,193.36,161
"Chateau Beychevelle 4eme Cru Classe, Saint-Julien",2004,Saint-Julien,91.18,89,190.93,129
"Chateau Beychevelle 4eme Cru Classe, Saint-Julien",2003,Saint-Julien,91.15,89,188.51,132
"Chateau Beychevelle 4eme Cru Classe, Saint-Julien",2002,Saint-Julien,91.12,88,186.08,113
"Chateau Beychevelle 4eme Cru Classe, Saint-Julien",2001,Saint-Julien,91.09,89,183.65,124
"Chateau Beychevelle 4eme Cru Classe, Saint-Julien",2000,Saint-Julien,91.06,91,181.22,173
"Domaine Jean Louis Chave, Hermitage, Rouge",2023,Hermitage,95.07,-,521.32,-
"Domaine Jean Louis Chave, Hermitage, Rouge",2022,Hermitage,95.07,-,521.32,-
"Domaine Jean Louis Chave, Hermitage, Rouge",2021,Hermitage,95.01,94,516.48,321
"Domaine Jean Louis Chave, Hermitage, Rouge",2020,Hermitage,94.98,95,514.07,413
"Domaine Jean Louis Chave, Hermitage, Rouge",2019,Hermitage,94.95,97,511.66,443
